XCT-1.csv,XCT-20.csv
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,True
False,False
